iter	Passed	Remaining
0	1	125
1	2	122
2	3	117
3	4	106
4	5	103
5	6	101
6	7	99
7	8	98
8	9	96
9	10	94
10	11	93
11	12	92
12	13	91
13	14	89
14	15	88
15	16	87
16	17	85
17	18	85
18	19	83
19	20	83
20	21	82
21	22	81
22	23	80
23	24	78
24	25	77
25	26	76
26	27	75
27	28	74
28	33	81
29	40	94
30	50	113
31	51	110
32	52	107
33	53	104
34	54	102
35	55	99
36	57	97
37	58	94
38	59	92
39	60	90
40	61	87
41	61	85
42	62	82
43	63	80
44	64	78
45	65	76
46	66	74
47	67	72
48	68	71
49	69	69
50	70	67
51	71	65
52	72	64
53	73	62
54	73	60
55	74	58
56	76	57
57	77	55
58	78	54
59	79	52
60	80	51
61	81	49
62	82	48
63	83	46
64	84	45
65	85	43
66	86	42
67	87	41
68	88	39
69	89	38
70	90	36
71	91	35
72	92	34
73	93	32
74	94	31
75	95	30
76	96	28
77	97	27
78	98	26
79	99	24
80	100	23
81	101	22
82	102	21
83	103	19
84	104	18
85	105	17
86	106	15
87	107	14
88	108	13
89	110	12
90	111	10
91	112	9
92	113	8
93	114	7
94	115	6
95	116	4
96	117	3
97	118	2
98	119	1
99	120	0
