iter	Passed	Remaining
0	157	157742
1	164	82042
2	165	55027
3	166	41474
4	167	33363
5	168	27943
6	169	24066
7	170	21180
8	171	18926
9	173	17137
10	180	16203
11	181	14930
12	182	13865
13	183	12942
14	184	12132
15	185	11430
16	186	10805
17	187	10249
18	194	10051
19	195	9598
20	197	9187
21	198	8814
22	199	8472
23	200	8153
24	201	7873
25	203	7610
26	209	7547
27	211	7327
28	212	7103
29	213	6892
30	214	6700
31	215	6521
32	216	6347
33	217	6192
34	224	6189
35	225	6041
36	226	5908
37	228	5781
38	229	5651
39	230	5530
40	231	5416
41	232	5305
42	234	5225
43	236	5133
44	237	5035
45	238	4940
46	239	4854
47	240	4772
48	241	4693
49	242	4614
50	248	4626
51	250	4565
52	251	4493
53	252	4423
54	253	4355
55	254	4289
56	255	4226
57	256	4170
58	257	4111
59	262	4110
60	266	4099
61	268	4057
62	269	4008
63	270	3959
64	271	3911
65	273	3866
66	281	3915
67	282	3873
68	284	3832
69	287	3817
70	289	3785
71	291	3754
72	292	3719
73	294	3686
74	295	3649
75	297	3616
76	299	3585
77	314	3716
78	315	3683
79	322	3707
80	324	3676
81	325	3646
82	326	3608
83	328	3581
84	334	3599
85	338	3599
86	340	3571
87	342	3550
88	350	3589
89	352	3568
90	354	3542
91	356	3518
92	361	3524
93	364	3517
94	366	3491
95	367	3464
96	370	3445
97	371	3423
98	373	3398
99	380	3427
100	382	3401
101	384	3382
102	385	3359
103	387	3340
104	393	3350
105	394	3327
106	395	3303
107	397	3279
108	399	3268
109	401	3244
110	402	3222
111	403	3200
112	408	3206
113	409	3186
114	411	3164
115	412	3146
116	413	3124
117	415	3102
118	416	3083
119	417	3064
120	418	3043
121	423	3044
122	424	3026
123	426	3010
124	427	2993
125	428	2974
126	429	2954
127	430	2934
128	431	2916
129	433	2898
130	437	2904
131	439	2887
132	440	2871
133	441	2854
134	442	2836
135	444	2821
136	445	2808
137	447	2793
138	448	2779
139	453	2787
140	455	2774
141	456	2756
142	458	2747
143	460	2734
144	461	2722
145	463	2709
146	467	2710
147	474	2731
148	476	2720
149	477	2707
150	479	2694
151	483	2698
152	485	2685
153	486	2672
154	487	2660
155	489	2649
156	491	2639
157	493	2628
158	496	2626
159	498	2617
160	499	2602
161	500	2590
162	501	2577
163	503	2568
164	505	2557
165	508	2552
166	510	2548
167	512	2538
168	513	2526
169	518	2530
170	519	2520
171	522	2514
172	529	2529
173	530	2519
174	532	2508
175	533	2499
176	535	2491
177	537	2481
178	538	2470
179	544	2478
180	545	2470
181	547	2460
182	548	2449
183	549	2438
184	551	2430
185	552	2419
186	556	2418
187	558	2410
188	559	2402
189	561	2394
190	563	2385
191	564	2375
192	565	2364
193	566	2354
194	568	2345
195	572	2348
196	573	2339
197	575	2331
198	576	2322
199	578	2315
200	579	2305
201	581	2295
202	582	2285
203	583	2275
204	588	2280
205	589	2272
206	590	2263
207	592	2254
208	593	2245
209	594	2235
210	595	2227
211	596	2217
212	597	2208
213	599	2203
214	602	2198
215	603	2189
216	604	2182
217	606	2174
218	607	2165
219	608	2157
220	609	2148
221	610	2140
222	611	2132
223	614	2128
224	616	2124
225	618	2116
226	619	2108
227	620	2099
228	621	2091
229	622	2084
230	623	2076
231	624	2068
232	625	2060
233	626	2052
234	627	2043
235	629	2038
236	631	2032
237	632	2024
238	633	2015
239	634	2008
240	635	2000
241	636	1992
242	637	1984
243	638	1977
244	639	1970
245	640	1963
246	642	1957
247	644	1952
248	645	1946
249	646	1940
250	648	1934
251	649	1928
252	650	1921
253	651	1914
254	653	1908
255	654	1901
256	655	1895
257	658	1893
258	659	1886
259	660	1880
260	661	1873
261	662	1866
262	663	1860
263	665	1853
264	666	1847
265	667	1841
266	668	1834
267	669	1828
268	670	1821
269	672	1819
270	674	1813
271	675	1807
272	676	1801
273	677	1795
274	678	1788
275	679	1782
276	680	1776
277	681	1770
278	682	1765
279	684	1758
280	685	1753
281	687	1751
282	688	1745
283	689	1739
284	690	1733
285	691	1727
286	692	1721
287	693	1715
288	694	1709
289	695	1703
290	697	1698
291	698	1692
292	699	1687
293	701	1685
294	702	1679
295	704	1674
296	705	1668
297	706	1663
298	707	1657
299	708	1652
300	709	1647
301	710	1642
302	711	1637
303	712	1632
304	714	1627
305	715	1622
306	717	1619
307	718	1614
308	719	1609
309	720	1604
310	721	1599
311	722	1593
312	723	1588
313	724	1583
314	726	1578
315	727	1574
316	728	1569
317	729	1564
318	731	1561
319	732	1556
320	733	1551
321	734	1546
322	735	1541
323	736	1537
324	737	1532
325	738	1527
326	740	1523
327	741	1519
328	743	1515
329	746	1515
330	747	1510
331	748	1506
332	749	1501
333	750	1496
334	751	1492
335	753	1488
336	754	1484
337	755	1480
338	757	1476
339	758	1472
340	760	1470
341	762	1466
342	763	1462
343	764	1458
344	765	1454
345	767	1449
346	768	1445
347	769	1441
348	770	1437
349	771	1433
350	774	1432
351	775	1428
352	777	1424
353	778	1420
354	779	1416
355	780	1412
356	781	1408
357	782	1404
358	784	1399
